2024-01-06;05:50:07;114;;NAME;REFERENCE;TARGETS;MINPODS;MAXPODS;REPLICAS;AGE
2024-01-06;05:50:07;120;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;4h46m
2024-01-06;05:54:30;932;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;588/100;(avg);1;100;1;4h50m
2024-01-06;05:54:45;954;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;4h51m
2024-01-06;05:55:00;972;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;6;4h51m
2024-01-06;05:59:31;250;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;6;4h55m
2024-01-06;05:59:46;265;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;4h56m
2024-01-06;06:01:31;386;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;199/100;(avg);1;100;1;4h57m
2024-01-06;06:01:46;407;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;915500m/100;(avg);1;100;2;4h58m
2024-01-06;06:02:01;430;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;4h58m
2024-01-06;06:02:16;452;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;8;4h58m
2024-01-06;06:02:31;475;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;16;4h58m
2024-01-06;06:02:46;491;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;19;4h59m
2024-01-06;06:06:46;744;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;19;5h3m
2024-01-06;06:07:01;764;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;5h3m
2024-01-06;06:11:02;012;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;351/100;(avg);1;100;1;5h7m
2024-01-06;06:11:17;027;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;5h7m
2024-01-06;06:16:02;324;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;5h12m
2024-01-06;06:16:17;339;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;5h12m
2024-01-06;06:16:47;378;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;3387/100;(avg);1;100;1;5h13m
2024-01-06;06:17:02;402;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;5h13m
2024-01-06;06:17:17;427;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;8;5h13m
2024-01-06;06:17:32;452;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;16;5h13m
2024-01-06;06:17:47;482;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;32;5h14m
2024-01-06;06:18:02;499;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;34;5h14m
2024-01-06;06:21:47;688;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;34;5h18m
2024-01-06;06:22:02;685;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;5h18m
2024-01-06;06:23:56;196;;NAME;REFERENCE;TARGETS;MINPODS;MAXPODS;REPLICAS;AGE
2024-01-06;06:23:56;202;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;5h20m
2024-01-06;06:25:02;694;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;23/100;(avg);1;100;1;5h21m
2024-01-06;06:25:17;695;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;609/100;(avg);1;100;1;5h21m
2024-01-06;06:25:32;699;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;5h21m
2024-01-06;06:25:47;693;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;7;5h22m
2024-01-06;06:30:17;918;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;7;5h26m
2024-01-06;06:30:32;937;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;5h26m
2024-01-06;06:32:18;048;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;16/100;(avg);1;100;1;5h28m
2024-01-06;06:32:33;071;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;361/100;(avg);1;100;1;5h28m
2024-01-06;06:32:48;087;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;5h29m
2024-01-06;06:37:33;386;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;5h33m
2024-01-06;06:37:48;402;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;5h34m
2024-01-06;06:38:18;440;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;2930/100;(avg);1;100;1;5h34m
2024-01-06;06:38:33;464;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;5h34m
2024-01-06;06:38:48;484;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;8;5h35m
2024-01-06;06:39:03;509;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;16;5h35m
2024-01-06;06:39:18;526;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;30;5h35m
2024-01-06;06:43:18;781;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;30;5h39m
2024-01-06;06:43:33;801;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;5h39m
2024-01-06;06:47:19;037;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;556/100;(avg);1;100;1;5h43m
2024-01-06;06:47:34;061;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;5h43m
2024-01-06;06:47:49;076;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;6;5h44m
2024-01-06;06:52:19;372;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;6;5h48m
2024-01-06;06:52:34;390;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;5h48m
2024-01-06;06:53:04;428;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;1881/100;(avg);1;100;1;5h49m
2024-01-06;06:53:19;448;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;5h49m
2024-01-06;06:53:34;490;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;8;5h49m
2024-01-06;06:53:49;510;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;16;5h50m
2024-01-06;06:54:04;528;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;19;5h50m
2024-01-06;06:58:04;793;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;19;5h54m
2024-01-06;06:58:19;808;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;5h54m
2024-01-06;07:01:50;046;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;214/100;(avg);1;100;1;5h58m
2024-01-06;07:02:05;067;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;3;5h58m
2024-01-06;07:04:50;300;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;92334m/100;(avg);1;100;3;6h1m
2024-01-06;07:05:05;326;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;3706/100;(avg);1;100;3;6h1m
2024-01-06;07:05:20;344;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;6;6h1m
