2024-01-04;17:38:09;575;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;134/100;(avg);1;100;1;6d22h
2024-01-04;17:38:24;596;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;179500m/100;(avg);1;100;2;6d22h
2024-01-04;17:38:39;619;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;6d22h
2024-01-04;17:43:24;929;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;6d22h
2024-01-04;17:43:39;948;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;6d22h
2024-01-04;17:44:09;987;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;2491/100;(avg);1;100;1;6d22h
2024-01-04;17:44:25;047;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;6d22h
2024-01-04;17:44:40;073;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;8;6d22h
2024-01-04;17:44:55;160;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;16;6d22h
2024-01-04;17:45:10;182;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;25;6d22h
2024-01-04;17:49:10;439;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;25;6d22h
2024-01-04;17:49:25;455;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;6d22h
2024-01-04;18:00:11;131;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;155/100;(avg);1;100;1;6d23h
2024-01-04;18:00:26;148;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;2;6d23h
2024-01-04;18:00:41;174;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;3028/100;(avg);1;100;2;6d23h
2024-01-04;18:00:56;196;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;6d23h
2024-01-04;18:01:11;221;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;8;6d23h
2024-01-04;18:01:26;254;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;16;6d23h
2024-01-04;18:01:41;281;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;32;6d23h
2024-01-04;18:01:56;299;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;61;6d23h
2024-01-04;18:05:41;550;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;61;6d23h
2024-01-04;18:05:56;571;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;6d23h
2024-01-04;18:06:02;076;;NAME;REFERENCE;TARGETS;MINPODS;MAXPODS;REPLICAS;AGE
2024-01-04;18:06:02;083;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;6d23h
